scope,asn,hege,nb_peers
9889,5511,0.125,10
9889,4826,1.0,10
9889,9790,1.0,10
9889,6939,0.25,10
5237,3356,1.0,10
5237,6223,0.625,10
5237,1299,0.125,10
5237,174,0.125,10
7459,1299,0.625,10
7459,3257,0.125,10
7459,6079,0.125,10
8374,174,0.125,10
8374,-31,0.5,10
8374,12741,0.25,10
10367,174,0.75,10
10367,1299,0.125,10
10367,6939,0.375,10
10367,13536,0.125,10
706,3356,0.75,10
2506,2914,0.875,10
2506,2907,0.875,10
2506,4713,0.125,10
11271,3320,0.125,10
11271,3257,0.125,10
11271,286,0.125,10
11271,7738,0.375,10
11271,1299,0.25,10
13000,1299,0.5,10
13000,5617,0.5,10
13000,196844,0.125,10
13000,15744,0.125,10
13000,6939,0.125,10
2567,-26,0.125,10
2567,6461,0.625,10
2567,1299,0.25,10
