scope,asn,hege,nb_peers
706,6830,0.1,12
706,3356,1.0,12
706,1299,0.1,12
10367,174,0.8,12
10367,6939,0.3,12
10367,13536,0.2,12
10367,11524,0.1,12
10367,1299,0.1,12
9889,6939,0.5,12
9889,4826,1.0,12
9889,9790,1.0,12
9889,3356,0.1,12
8374,174,0.3,12
8374,-31,0.2,12
8374,3356,0.1,12
8374,12741,0.3,12
7459,1299,0.8,12
7459,3257,0.1,12
5237,3356,1.0,12
5237,9002,0.1,12
5237,6223,0.5,12
5237,3257,0.1,12
2506,6830,0.1,12
2506,2914,0.7,12
2506,2907,1.0,12
2506,9002,0.1,12
2506,-95,0.1,12
2506,-30,0.1,12
2506,7527,0.1,12
2567,1299,0.3,12
2567,174,0.1,12
2567,-31,0.1,12
2567,6461,0.4,12
2567,-18,0.1,12
13000,1299,0.3,12
13000,5617,0.4,12
13000,-31,0.1,12
13000,196844,0.4,12
13000,15744,0.4,12
13000,-26,0.2,12
11271,12956,0.3,12
11271,27699,0.3,12
11271,7738,0.5,12
11271,1299,0.4,12
