scope,asn,hege,nb_peers
9889,4826,1.0,42
9889,9790,1.0,42
9889,6939,0.4117647058823529,42
9889,1299,0.029411764705882353,42
13000,1299,0.38235294117647056,42
13000,5617,0.47058823529411764,42
13000,196844,0.2647058823529412,42
13000,15744,0.38235294117647056,42
13000,-31,0.058823529411764705,42
11271,12956,0.08823529411764706,42
11271,27699,0.08823529411764706,42
11271,7738,0.4411764705882353,42
11271,1299,0.23529411764705882,42
11271,3320,0.08823529411764706,42
2506,2914,0.8529411764705882,42
2506,2907,1.0,42
2506,1299,0.058823529411764705,42
2506,-95,0.029411764705882353,42
2567,6461,0.23529411764705882,42
2567,1299,0.3235294117647059,42
2567,3257,0.08823529411764706,42
7459,1299,0.6764705882352942,42
7459,3257,0.20588235294117646,42
5237,3356,1.0,42
5237,6223,0.5294117647058824,42
5237,1299,0.029411764705882353,42
5237,174,0.11764705882352941,42
8374,174,0.47058823529411764,42
8374,12741,0.08823529411764706,42
8374,-31,0.23529411764705882,42
706,3356,1.0,42
706,1299,0.08823529411764706,42
10367,174,0.8823529411764706,42
10367,13536,0.08823529411764706,42
10367,6939,0.08823529411764706,42
10367,1299,0.11764705882352941,42
