scope,asn,hege,nb_peers
3223,2914,0.08,31
3223,1299,0.44,31
3223,-31,0.02,31
9770,2914,0.28,31
9770,3786,1.0,31
9770,3356,0.24,31
4795,9002,0.48,31
4795,4761,0.84,31
4795,1299,0.44,31
42910,174,0.4,31
42910,-26,0.08,31
42910,50673,0.2,31
42910,6762,0.12,31
42910,9121,0.24,31
38370,58453,1.0,31
38370,9808,1.0,31
38370,1299,0.36,31
38370,3356,0.2,31
9341,3356,0.76,31
9341,1299,0.04,31
9341,6939,0.04,31
9341,-158,0.04,31
9341,38757,0.04,31
9341,3491,0.04,31
136958,4837,1.0,31
136958,17816,1.0,31
136958,1299,0.12,31
136958,3356,0.36,31
17995,1299,0.56,31
17995,137366,0.96,31
17995,6461,0.04,31
17995,7473,0.2,31
17995,2914,0.08,31
45069,-31,0.04,31
45069,58453,1.0,31
45069,9808,1.0,31
45069,9394,1.0,31
45069,1299,0.4,31
45069,3356,0.2,31
27775,2914,0.54,31
27775,6939,0.23,31
27775,23520,0.08,31
27775,3356,0.04,31
27775,1299,0.12,31
27775,174,0.32,31
