scope,asn,hege,nb_peers
20161,6461,0.3333333333333333,22
20161,6327,0.3888888888888889,22
20161,577,0.2222222222222222,22
27747,1299,0.16666666666666666,22
27747,3356,0.4444444444444444,22
27747,3549,0.16666666666666666,22
27747,12956,0.16666666666666666,22
27747,10834,0.1111111111111111,22
27747,6762,0.6111111111111112,22
1916,1299,0.05555555555555555,22
1916,2914,0.1111111111111111,22
1916,174,0.6666666666666666,22
14259,174,0.2777777777777778,22
14259,1299,0.05555555555555555,22
14259,12956,0.2222222222222222,22
14259,3356,0.2222222222222222,22
14259,262589,0.1111111111111111,22
55592,4766,1.0,22
55592,174,0.3333333333333333,22
136190,3356,0.16666666666666666,22
136190,4134,1.0,22
136190,1299,0.027777777777777776,22
44444,3356,0.4305555555555556,22
44444,3491,0.027777777777777776,22
44444,4637,0.1111111111111111,22
2519,3356,0.3888888888888889,22
2519,3549,0.3888888888888889,22
2519,1299,0.1111111111111111,22
2519,174,0.2777777777777778,22
55352,6453,0.8316993464052288,22
55352,4755,0.8316993464052288,22
55352,45769,0.16666666666666666,22
55352,3356,0.2222222222222222,22
55352,9498,0.10185185185185186,22
55352,64049,0.05555555555555555,22
55352,55836,0.05555555555555555,22
55352,17439,0.05555555555555555,22
4787,6453,0.05555555555555555,22
4787,38158,1.0,22
4787,1299,0.2222222222222222,22
4787,2914,0.3333333333333333,22
